MD,Incl,Azi,TVD,NS,EW,VS,DLS,Build,Turn
2390.0,21.25,68.32,2283.3,6.75,-428.61,-165.38,2.469,2.46,0.6
2400.0,21.92,68.35,2292.6,8.1,-425.2,-162.79,2.01,2.01,0.09
2410.0,22.61,68.54,2301.85,9.5,-421.67,-160.13,2.081,2.07,0.57
2420.0,23.43,68.67,2311.05,10.92,-418.03,-157.39,2.465,2.46,0.39
2430.0,24.36,68.72,2320.2,12.39,-414.26,-154.56,2.791,2.79,0.15
2440.0,25.31,68.55,2329.27,13.92,-410.35,-151.62,2.858,2.85,-0.51
2450.0,26.29,68.14,2338.28,15.53,-406.3,-148.56,2.988,2.94,-1.23
2460.0,27.23,67.77,2347.2,17.22,-402.13,-145.38,2.864,2.82,-1.11
2470.0,28.23,67.35,2356.06,19.0,-397.83,-142.06,3.057,3.0,-1.26
2480.0,29.08,67.17,2364.83,20.85,-393.4,-138.62,2.563,2.55,-0.54
2490.0,30.08,67.26,2373.53,22.76,-388.85,-135.08,3.003,3.0,0.27
2500.0,31.02,67.18,2382.14,24.73,-384.17,-131.44,2.823,2.82,-0.24
2510.0,31.64,67.35,2390.68,26.74,-379.37,-127.71,1.879,1.86,0.51
2520.0,32.15,67.45,2399.17,28.77,-374.49,-123.94,1.538,1.53,0.3
2530.0,32.87,67.45,2407.6,30.83,-369.53,-120.1,2.16,2.16,0.0
2540.0,34.06,67.96,2415.95,32.92,-364.43,-116.18,3.668,3.57,1.53
2550.0,35.36,68.34,2424.17,35.04,-359.14,-112.16,3.954,3.9,1.14
2560.0,36.24,68.58,2432.28,37.19,-353.7,-108.05,2.673,2.64,0.72
2570.0,36.93,68.78,2440.31,39.36,-348.15,-103.89,2.101,2.07,0.6
2570.68,36.98,68.81,2440.85,39.5,-347.77,-103.6,2.316,2.157,1.401
2580.0,37.65,69.24,2448.26,41.53,-342.49,-99.68,2.316,2.16,1.378
2590.0,37.87,66.01,2456.17,43.86,-336.83,-95.32,5.97,0.66,-9.69
2600.0,37.35,64.16,2464.09,46.43,-331.3,-90.79,3.729,-1.56,-5.55
2610.0,36.64,62.42,2472.08,49.13,-325.92,-86.2,3.795,-2.13,-5.22
2620.0,36.09,60.49,2480.13,51.96,-320.71,-81.55,3.809,-1.65,-5.79
2630.0,35.64,58.41,2488.24,54.94,-315.67,-76.84,3.897,-1.35,-6.24
2640.0,35.21,56.92,2496.38,58.04,-310.77,-72.07,2.894,-1.29,-4.47
2650.0,35.61,56.12,2504.53,61.24,-305.94,-67.24,1.837,1.2,-2.4
2660.0,36.53,55.7,2512.62,64.54,-301.06,-62.3,2.858,2.76,-1.26
2670.0,37.66,55.31,2520.59,67.95,-296.09,-57.21,3.463,3.39,-1.17
2680.0,38.88,54.83,2528.45,71.5,-291.01,-51.96,3.767,3.66,-1.44
2690.0,39.94,54.27,2536.17,75.18,-285.84,-46.54,3.354,3.18,-1.68
2700.0,41.34,53.9,2543.76,79.0,-280.57,-40.97,4.262,4.2,-1.11
2710.0,42.46,53.52,2551.2,82.96,-275.19,-35.22,3.445,3.36,-1.14
